,param,importance,%
7,count,0.204345591533149,20.4345591533149
27,ln_bg,0.07837452375838465,7.837452375838465
23,b_g,0.0652597757749756,6.52597757749756
12,coastal,0.05888711137775699,5.888711137775699
6,bcmad,0.04825953742158491,4.825953742158491
2,blue,0.04552953436534774,4.552953436534774
26,ndci,0.039154548346580734,3.9154548346580733
11,swir22,0.03529563908264186,3.529563908264186
1,red,0.03218486054536162,3.2184860545361618
22,ndti,0.032046749289626204,3.2046749289626204
8,nir08,0.029899241412432186,2.9899241412432187
0,nir,0.028763159050648825,2.8763159050648825
24,b_r,0.02593761485242042,2.593761485242042
10,swir16,0.024224082538712142,2.422408253871214
3,green,0.02397030921131831,2.397030921131831
33,glcm_mean,0.02120763654517512,2.120763654517512
25,mci,0.019399096878298282,1.9399096878298283
13,rededge1,0.01928110175442192,1.9281101754421919
28,glcm_contrast,0.01888393628568695,1.888393628568695
15,rededge3,0.016985956096176064,1.6985956096176063
9,nir09,0.016469901736598718,1.6469901736598718
18,evi,0.01583984598017623,1.583984598017623
4,emad,0.014430927407583219,1.4430927407583218
20,ndwi,0.013322984979913991,1.3322984979913992
21,mndwi,0.013201541781002047,1.3201541781002046
30,glcm_entropy,0.012447150989040869,1.244715098904087
29,glcm_homogeneity,0.012236309200987481,1.223630920098748
14,rededge2,0.010691851271561418,1.069185127156142
31,glcm_energy,0.008851219176390559,0.8851219176390559
19,savi,0.0066142207370277544,0.6614220737027754
16,cai,0.006310564640152025,0.6310564640152025
5,smad,0.0016934759788661778,0.1693475978866178
32,glcm_correlation,0.0,0.0
17,ndvi,0.0,0.0
