,param,importance
0,nir,0.012934713768448161
1,red,0.0313273309284132
2,blue,0.030207579518058702
3,green,0.12413077471202816
4,emad,0.0059055069196412785
5,smad,0.008682075574162522
6,bcmad,0.006547971222006511
7,count,0.020159324496355394
8,nir08,0.015706245712150933
9,nir09,0.02254545934654792
10,swir16,0.00983172291980208
11,swir22,0.008792388293644213
12,coastal,0.018894477724075685
13,rededge1,0.029323267676968783
14,rededge2,0.015902163174946044
15,rededge3,0.015856712216109695
16,cai,0.025632657435950338
17,ndvi,0.0796551858156555
18,ndwi,0.02816591112052744
19,mndwi,0.04593803991468821
20,ndti,0.029591146532203984
21,b_g,0.13436742844977287
22,b_r,0.022444936318571064
23,mci,0.1094914881092402
24,ndci,0.02172280125789596
25,ln_bg,0.11446397398227695
26,stumpf,0.011778716859858313
