,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,cai,ndvi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,y,x
cc_id,1.0,0.2513143884428321,0.19174285040475764,0.19679896929642587,0.19833369580858454,0.33837252360539116,-0.2630103661257321,-0.00046803145421929785,-0.1097095067185913,0.28165188166171473,0.10842446996491309,0.38325645427365945,0.4088908472877545,0.24480993118649333,0.1353926928997893,0.2686584294852731,0.22928000018465192,-0.07070297307212955,0.04639743221927491,0.03128886426403834,-0.1974223231051759,-0.1089374151317818,-0.17818320626273298,-0.09687014311859998,0.06261030588968677,-0.09491282343597277,0.43465294978659574,-0.4413913331161008
nir,0.2513143884428321,1.0,0.7191401122351717,0.43546185637039436,0.5078655003029491,0.8009551791999638,-0.5252665771717173,-0.23242106470124016,-0.3492742557192482,0.9429354220095746,0.6635418373292928,0.7933372564868755,0.7461925714371488,0.5030168746241869,0.7437054124069404,0.9619561318303712,0.9581957940396988,-0.19934004376074013,0.3282711561845998,-0.36951102550545983,-0.34504703023863315,0.38128040311575057,-0.5806162569835361,-0.7433245628622656,0.15703700037943905,0.2547172167295229,0.5747778883310803,-0.5704777651443604
red,0.19174285040475764,0.7191401122351717,1.0,0.8571624468131946,0.9281256572600338,0.6214081387881897,-0.6495572123518969,-0.49805460458092626,-0.49270707504529065,0.6688000063957663,0.43113205758578804,0.6018354442556862,0.5697257945311122,0.7423225506237193,0.9189286342235,0.718084323852357,0.7228508483560094,-0.6008080920809861,-0.3877934630247123,0.2885241484043535,0.19607206617844858,0.015084926032385012,-0.7871511900985203,-0.6905227681986718,-0.44805265135494654,0.030809956406057708,0.5102315857535904,-0.5107681523141947
blue,0.19679896929642587,0.43546185637039436,0.8571624468131946,1.0,0.9637968733306905,0.5418671237201818,-0.6092823721874476,-0.3679568170666553,-0.3161528496387646,0.43339880903458367,0.242825321070654,0.508956639760589,0.5191957719384735,0.8616426446268034,0.6683610166279699,0.45911429162427353,0.43019741957831575,-0.6616480053705611,-0.5615338681733579,0.5686968184703004,0.28170749798212313,-0.39355999539378894,-0.5942932144340811,-0.26004707516720665,-0.4506424190381104,-0.2981076584561418,0.529946234359259,-0.5348502350420995
green,0.19833369580858454,0.5078655003029491,0.9281256572600338,0.9637968733306905,1.0,0.5173816793468642,-0.6369784626016819,-0.4960337308094147,-0.46742175244763007,0.48669757337274444,0.2749949312596824,0.5073622647264157,0.4991193458279514,0.8037306781748884,0.786764808798808,0.522964764025492,0.5145177799437802,-0.6973442966256288,-0.5923449969633959,0.5708056270957939,0.35788155014544815,-0.3380126213082138,-0.7735773676749726,-0.43868306512146477,-0.5628971774903211,-0.15813314768010622,0.5237797738382146,-0.5283579974273127
emad,0.33837252360539116,0.8009551791999638,0.6214081387881897,0.5418671237201818,0.5173816793468642,1.0,-0.412607577303105,0.1772828284220378,-0.11191516630281129,0.8303759235964469,0.5667500733001193,0.8659644469636989,0.8785699191307462,0.6609685470559971,0.5383709920314385,0.8261271763874111,0.7684561846707073,-0.1571074696036553,0.22796249173252012,-0.18232413860380148,-0.44957504419058253,0.12319856610025844,-0.40683291813865985,-0.46660275172501087,0.21190657894953865,-0.04942878723547609,0.7155917279915897,-0.7091441841052197
smad,-0.2630103661257321,-0.5252665771717173,-0.6495572123518969,-0.6092823721874476,-0.6369784626016819,-0.412607577303105,1.0,0.5326969601592182,0.33988783570307657,-0.5573417649523982,-0.37431503024747326,-0.657408051230021,-0.6393905998663278,-0.5865571570317025,-0.5221618546529587,-0.5394610752019012,-0.5109546456159453,0.36371036570714027,0.21324094609310973,-0.19544218777196012,0.13682990467562464,0.07883090064331744,0.5055882029813854,0.38642730202960096,0.16329632118557785,0.16541990549616012,-0.6481342334600164,0.6521167123236057
bcmad,-0.00046803145421929785,-0.23242106470124016,-0.49805460458092626,-0.3679568170666553,-0.4960337308094147,0.1772828284220378,0.5326969601592182,1.0,0.6139049222686273,-0.1824813751950381,-0.10544015642761068,-0.058524346246249914,0.001568527897480987,-0.24085017334338463,-0.530093614420797,-0.22044470189561716,-0.26919630429223723,0.36751191151304985,0.43065631410538074,-0.330244538669942,-0.44100831973387555,0.07295475846378618,0.572205748447391,0.39453578302294945,0.5729016084395735,-0.20653164716969916,-0.11705058992884733,0.12299133921650464
count,-0.1097095067185913,-0.3492742557192482,-0.49270707504529065,-0.3161528496387646,-0.46742175244763007,-0.11191516630281129,0.33988783570307657,0.6139049222686273,1.0,-0.31754713372146126,-0.22485705395624972,-0.2216605151749899,-0.17733727648974562,-0.21783678349978136,-0.4786224756413919,-0.3329383255420317,-0.3635134529239364,0.3332385168636774,0.31723483276447445,-0.2546682911124996,-0.29648302083219147,0.05526900964999969,0.7031217734415518,0.5105244402820459,0.4335381378021979,-0.0975077671687435,-0.28498266601220795,0.2708807138617393
nir08,0.28165188166171473,0.9429354220095746,0.6688000063957663,0.43339880903458367,0.48669757337274444,0.8303759235964469,-0.5573417649523982,-0.1824813751950381,-0.31754713372146126,1.0,0.720869547450539,0.8848703804887186,0.8270429931452389,0.5231920897579644,0.6808447244359024,0.9849673881271309,0.9698099247671049,-0.16238670956371506,0.321143261551544,-0.33249582863331445,-0.46708096286558004,0.3081269668876411,-0.531315120555324,-0.6597437748955288,0.18373031960356334,0.18993855932509843,0.644885769886934,-0.640382902084881
