,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,cai,ndvi,evi,savi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,ln_bg,glcm_contrast,glcm_homogeneity,glcm_entropy,glcm_energy,glcm_correlation,glcm_mean
cc_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nir,,,0.880964294680603,,,,,,,0.9283427439688557,,0.9364636880737742,0.9332464047195737,,0.8931361139076761,0.9427613694257483,0.9404902026819637,,,0.9390447480659766,,,,,,,,,,,,,,,
red,,0.880964294680603,,0.9176527437121841,0.9403266752835794,,,,,,,,,,0.9187988579203547,,,,,,,,,,,,,,,,,,,,0.8507982700230784
blue,,,0.9176527437121841,,0.9686891113579057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8568688998725102
green,,,0.9403266752835794,0.9686891113579057,,,,,,,,,,,0.8274165978695882,,,,,,,,,,,,,,,,,,,,0.8859469667053351
emad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smad,,,,,,,,0.9384486627741643,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcmad,,,,,,,0.9384486627741643,,,,,,,,,,,,,,,,,,,0.8084809431229588,,,,,,,,,
count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nir08,,0.9283427439688557,,,,,,,,,,0.9926022084732226,0.9858678588663546,,0.8613566659278756,0.996407814378156,0.996458803346389,,,0.9309364270012437,,,,,,,,,,,,,,,
nir09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swir16,,0.9364636880737742,,,,,,,,0.9926022084732226,,,0.9965455082088718,,0.8507808019468003,0.989639518353713,0.9875972486063452,,,0.9308778076986037,,,,,,,,,,,,,,,
swir22,,0.9332464047195737,,,,,,,,0.9858678588663546,,0.9965455082088718,,,0.8328741015658261,0.9829235991444695,0.9796308350207387,,,0.9340157935943021,,,,,,,,,,,,,,,
coastal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8508080951983592
rededge1,,0.8931361139076761,0.9187988579203547,,0.8274165978695882,,,,,0.8613566659278756,,0.8507808019468003,0.8328741015658261,,,0.8935844908778231,0.8960849442563918,,,,,,,0.8808977374863808,,,,,,,,,,,0.8244442594713668
rededge2,,0.9427613694257483,,,,,,,,0.996407814378156,,0.989639518353713,0.9829235991444695,,0.8935844908778231,,0.9995000616995723,,,0.9339463277148307,,,,,,,,,,,,,,,
rededge3,,0.9404902026819637,,,,,,,,0.996458803346389,,0.9875972486063452,0.9796308350207387,,0.8960849442563918,0.9995000616995723,,,,0.9324460762730654,,,,,,,,,,,,,,,
cai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ndvi,,,,,,,,,,,,,,,,,,,,0.8479917699790912,,,,,,,0.838353132170027,,,,,,,,
evi,,0.9390447480659766,,,,,,,,0.9309364270012437,,0.9308778076986037,0.9340157935943021,,,0.9339463277148307,0.9324460762730654,,0.8479917699790912,,0.8479917699790912,,,,,,,,,,,,,,
savi,,,,,,,,,,,,,,,,,,,,0.8479917699790912,,,,,,,0.838353132170027,,,,,,,,
ndwi,,,,,,,,,,,,,,,,,,,,,,,0.9267938120055902,,,,,,,,,,,,
mndwi,,,,,,,,,,,,,,,,,,,,,,0.9267938120055902,,,,,,,,,,,,,
ndti,,,,,,,,,,,,,,,0.8808977374863808,,,,,,,,,,,,,,,,,,,,
b_g,,,,,,,,,,,,,,,,,,,,,,,,,,0.9080496152575842,,,0.9988615282192935,,,,,,
b_r,,,,,,,,0.8084809431229588,,,,,,,,,,,,,,,,,0.9080496152575842,,,,0.9044038936215576,,,,,,
mci,,,,,,,,,,,,,,,,,,,0.838353132170027,,0.838353132170027,,,,,,,,,,,,,,
ndci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ln_bg,,,,,,,,,,,,,,,,,,,,,,,,,0.9988615282192935,0.9044038936215576,,,,,,,,,
glcm_contrast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_homogeneity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8054641593808993,,
glcm_entropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8054641593808993,,,,
glcm_correlation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_mean,,,0.8507982700230784,0.8568688998725102,0.8859469667053351,,,,,,,,,0.8508080951983592,0.8244442594713668,,,,,,,,,,,,,,,,,,,,
