,param,importance,%
10,swir16,0.10158127446317995,10.158127446317994
18,evi,0.06558352612560135,6.558352612560135
11,swir22,0.06130198201485854,6.130198201485855
20,ndwi,0.045162029361103986,4.516202936110399
8,nir08,0.04334529621078413,4.334529621078413
13,rededge1,0.04233991524973166,4.233991524973166
14,rededge2,0.04228822911170114,4.228822911170114
9,nir09,0.038341429384853284,3.8341429384853285
15,rededge3,0.03760552713208593,3.760552713208593
0,nir,0.036467517761148475,3.6467517761148476
4,emad,0.035845582604162485,3.5845582604162485
27,ln_bg,0.03454605020746518,3.4546050207465178
21,mndwi,0.0345275467882112,3.45275467882112
6,bcmad,0.033172277985456536,3.3172277985456535
23,b_g,0.032352480851715444,3.2352480851715444
19,savi,0.030086397494880464,3.0086397494880464
7,count,0.029527190783955555,2.9527190783955555
3,green,0.029171980296387047,2.917198029638705
25,mci,0.027885774741548727,2.788577474154873
17,ndvi,0.026925658127772447,2.6925658127772447
5,smad,0.026825635692645445,2.6825635692645444
12,coastal,0.026272930414367863,2.6272930414367863
24,b_r,0.025872110387593347,2.587211038759335
1,red,0.0209183602073147,2.09183602073147
2,blue,0.01940686660294946,1.940686660294946
16,cai,0.018545509983328854,1.8545509983328854
22,ndti,0.017645852353765187,1.7645852353765188
26,ndci,0.016455067661431722,1.6455067661431722
