,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,cai,ndvi,evi,savi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,ln_bg,glcm_contrast,glcm_homogeneity,glcm_entropy,glcm_energy,glcm_correlation,glcm_mean
0,6,0.023899999,0.030199999,0.077199996,0.0705,0.08626593,5.6946155e-06,3.7423506e-05,0.0055,0.0263,0.0324,0.026899999,0.0252,0.0735,0.03,0.025999999,0.027199998,-0.02455206,-0.116451025,0.047196932,-0.116451025,0.12738284,0.4476386,-0.40019867,1.0950354,2.5562913,0.7966666,-0.0033222535,0.09078672,13.642858,0.2521129,5.975418,0.13256581,0.6703175,50.107143
1,6,0.027099999,0.0334,0.0799,0.0742,0.08370741,4.9200116e-06,3.31277e-05,0.0056999996,0.0284,0.0339,0.0278,0.024999999,0.077599995,0.0325,0.0279,0.0299,-0.0146031855,-0.10413224,0.054675687,-0.10413224,0.12707123,0.45490193,-0.37918216,1.0768194,2.3922155,0.83384615,-0.013657061,0.07401172,6.1666665,0.30554837,5.5979238,0.15521911,0.81703347,54.63095
2,6,0.0289,0.0347,0.083,0.0774,0.08761348,4.7722992e-06,3.3793593e-05,0.0061,0.030299999,0.0411,0.0298,0.0276,0.0766,0.034399997,0.030299999,0.0317,-0.04010023,-0.091194965,0.061096653,-0.091194965,0.12962382,0.44402987,-0.38090992,1.0723513,2.3919308,0.8401163,-0.004341554,0.069853745,7.7619047,0.36109307,5.645543,0.15338212,0.7683484,52.642857
3,6,0.0254,0.0338,0.0764,0.0739,0.08550652,4.3224572e-06,2.706903e-05,0.0058999998,0.0276,0.0403,0.0267,0.024899999,0.0831,0.0338,0.026999999,0.0284,0.04200628,-0.14189188,0.045329675,-0.14189188,0.13134459,0.46918494,-0.37233058,1.0338295,2.260355,0.7514793,0.0,0.03326982,4.8809524,0.471458,5.391852,0.16409582,0.70059985,51.559525
4,6,0.024899999,0.0314,0.0727,0.067099996,0.07294356,4.7534318e-06,3.135983e-05,0.006,0.025799999,0.0352,0.0252,0.022699999,0.0744,0.0314,0.025799999,0.0274,0.011556757,-0.11545294,0.046179175,-0.11545294,0.115887694,0.45395443,-0.36243653,1.0834576,2.3152866,0.7929936,0.0,0.0801574,8.380953,0.3582273,5.8923173,0.13573517,0.6711012,50.738094
5,6,0.030599998,0.0425,0.0845,0.0857,0.08991236,5.364862e-06,3.5325513e-05,0.0064,0.032899998,0.0405,0.0312,0.0285,0.073699996,0.0407,0.032199997,0.0339,-0.068268046,-0.16279073,0.05215924,-0.16279073,0.14455777,0.46621042,-0.33697346,0.9859977,1.9882352,0.75184274,-0.021634623,-0.014101282,4.0238094,0.3528011,4.7786403,0.20342866,0.8277247,55.988094
6,2,0.18169999,0.1726,0.148,0.17459999,0.14750329,9.5096823e-07,1.0129599e-05,0.0047,0.17629999,0.399,0.1205,0.0784,0.0727,0.1885,0.1724,0.1839,-0.34118715,0.02568442,0.25435746,0.02568442,-0.012927199,0.18332767,-0.0057603377,0.84765184,0.8574739,0.96392566,0.044032123,-0.1652853,583.6905,0.046631247,6.3446984,0.11167657,0.8127762,81.20238
7,2,0.17189999,0.17729999,0.1478,0.1721,0.14852001,5.838573e-07,1.0410192e-05,0.0049,0.20889999,0.1929,0.13939999,0.093899995,0.089099996,0.21,0.2012,0.21579999,-0.24778388,-0.015463924,0.22396202,-0.015463924,0.00036995448,0.10497594,0.014882653,0.85880303,0.83361536,0.8185714,0.08443068,-0.15221569,779.9762,0.06382322,6.368508,0.11040022,0.793879,82.96429
8,2,0.1425,0.155,0.1354,0.1585,0.12333609,6.911874e-07,9.346518e-06,0.0047,0.1876,0.2834,0.1422,0.096999995,0.0938,0.21229999,0.18689999,0.19569999,-0.18150085,-0.042016815,0.19039734,-0.042016815,0.031341568,0.054206874,-0.011164274,0.85425866,0.8735484,0.67122,0.15600324,-0.15752125,824.1429,0.11517536,6.178032,0.12485819,0.8493349,97.64286
9,2,0.2663,0.259,0.20019999,0.23249999,0.12453967,4.354268e-07,8.3022105e-06,0.0046,0.1891,0.1733,0.146,0.098,0.109299995,0.21769999,0.1884,0.1971,-0.29369953,0.013896801,0.30842426,0.013896801,-0.052078556,0.22853367,0.05391662,0.8610753,0.77297294,1.223243,-0.086637326,-0.14957334,698.119,0.19201507,6.24946,0.11664237,0.9123477,124.059525
