,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,y,x,spatial_ref,time,cai,ndvi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,stumpf,ln_bg
0,4,0.0602,0.0742,0.092599995,0.100499995,0.15210178,1.8036901e-06,3.3523716e-05,0.0030999999,0.0637,0.098799996,0.0605,0.053799998,0.070599996,0.074599996,0.0633,0.065299995,-1057915.0,-302095.0,3832,2024-01-01,-0.13480392,-0.10416666,0.25077784,0.24844718,-0.15054378,0.92139304,1.2479784,0.80697054,0.0026881678,2.943602,-0.08186858
1,4,0.0598,0.074999996,0.0989,0.107099995,0.16122046,2.5572538e-06,3.372579e-05,0.0030999999,0.0648,0.0689,0.060599998,0.0541,0.0875,0.074599996,0.0641,0.0665,-1057915.0,-302075.0,3832,2024-01-01,-0.061158795,-0.11275963,0.28340322,0.27728087,-0.17627677,0.92343605,1.3186667,0.8016086,-0.0026737922,3.0404992,-0.079653725
2,4,0.059699997,0.074999996,0.0949,0.103999995,0.16183805,2.51109e-06,3.397069e-05,0.0030999999,0.0667,0.0682,0.0618,0.0552,0.0875,0.076799996,0.065299995,0.0672,-1057945.0,-302075.0,3832,2024-01-01,-0.04057017,-0.11358573,0.27061698,0.25452352,-0.16201118,0.9125,1.2653334,0.77734375,0.011857713,2.9099798,-0.091567166
3,4,0.059699997,0.0752,0.095199995,0.103999995,0.1583075,2.317196e-06,3.4195007e-05,0.0030999999,0.066199996,0.0687,0.0611,0.055,0.087299995,0.0755,0.065,0.0673,-1057925.0,-302085.0,3832,2024-01-01,-0.043287672,-0.11489993,0.27061698,0.25984251,-0.16071427,0.9153846,1.2659574,0.79072845,0.0019906943,2.933475,-0.08841099
4,4,0.058,0.072299995,0.0995,0.1074,0.15900189,2.5702536e-06,3.435343e-05,0.0030999999,0.0638,0.0677,0.059499998,0.0537,0.0879,0.0709,0.0626,0.065299995,-1057915.0,-302065.0,3832,2024-01-01,-0.061899696,-0.109746724,0.2986699,0.28699824,-0.19532558,0.9264432,1.3762103,0.81805354,-0.0097764945,3.072569,-0.076402515
5,4,0.06,0.0749,0.093899995,0.102699995,0.16169257,2.6456178e-06,3.4286735e-05,0.0030999999,0.067,0.07,0.062099997,0.055999998,0.0883,0.078099996,0.065299995,0.0682,-1057975.0,-302075.0,3832,2024-01-01,-0.030735446,-0.110452205,0.2624462,0.24635923,-0.1565315,0.91431355,1.2536715,0.7682459,0.020914998,2.909781,-0.089581706
6,4,0.063999996,0.08,0.100099996,0.1104,0.17080419,3.1897157e-06,3.218326e-05,0.0032,0.0698,0.0751,0.064399995,0.0578,0.091299996,0.081,0.0685,0.0712,-1057995.0,-302075.0,3832,2024-01-01,-0.045977015,-0.111111134,0.26605505,0.26315793,-0.15966387,0.9067029,1.25125,0.7901234,0.006211193,2.936341,-0.097940475
7,4,0.060999997,0.0782,0.0968,0.107,0.16233994,2.9925227e-06,3.527875e-05,0.0030999999,0.0668,0.07,0.062,0.055999998,0.088199995,0.0779,0.065299995,0.0681,-1057965.0,-302085.0,3832,2024-01-01,-0.046486508,-0.12356322,0.27380955,0.2662722,-0.15550756,0.90467286,1.2378517,0.7830552,-0.0019218298,2.8827615,-0.100181885
8,4,0.063999996,0.0742,0.0835,0.0902,0.15960032,1.8531382e-06,3.4480567e-05,0.0030999999,0.0687,0.100099996,0.0628,0.0559,0.0705,0.0786,0.0661,0.069699995,-1057945.0,-302115.0,3832,2024-01-01,-0.08441556,-0.07380609,0.16990925,0.17908499,-0.09732362,0.9257206,1.125337,0.81424934,0.028795812,2.8596747,-0.077182844
9,4,0.063099995,0.072299995,0.0806,0.0866,0.15463118,2.041161e-06,3.458939e-05,0.0030999999,0.0664,0.0989,0.0614,0.055,0.0713,0.0771,0.0648,0.0669,-1057935.0,-302125.0,3832,2024-01-01,-0.061224498,-0.06794682,0.15698066,0.17027025,-0.08999373,0.930716,1.1147995,0.81841755,0.03212856,2.8603923,-0.07180112
10,4,0.058199998,0.0718,0.082499996,0.090399995,0.14504963,2.4668425e-06,3.5594854e-05,0.003,0.063,0.0977,0.058199998,0.0521,0.0673,0.0758,0.062299997,0.065,-1057905.0,-302125.0,3832,2024-01-01,-0.1014686,-0.10461541,0.21668908,0.21668908,-0.114673205,0.9126106,1.149025,0.76781,0.027100276,2.7582774,-0.09144601
11,4,0.058199998,0.074599996,0.0999,0.1092,0.15974467,2.3850441e-06,3.407573e-05,0.0030999999,0.0656,0.067499995,0.0614,0.055099998,0.0885,0.0736,0.0646,0.0673,-1057945.0,-302055.0,3832,2024-01-01,-0.06050955,-0.12349396,0.30465952,0.28018758,-0.18824813,0.91483516,1.3391422,0.7907608,-0.0067476016,2.9890811,-0.089011386
12,4,0.0559,0.0678,0.100499995,0.107099995,0.14624251,1.5640288e-06,3.370503e-05,0.0032,0.063999996,0.067999996,0.0598,0.0547,0.0893,0.0694,0.0629,0.0657,-1057925.0,-302035.0,3832,2024-01-01,-0.059009463,-0.09620049,0.31411043,0.28340322,-0.22469981,0.93837535,1.4823008,0.80547553,0.0116617875,3.1935318,-0.06360524
13,4,0.0578,0.0707,0.102299996,0.107999995,0.14653969,9.85545e-07,3.234219e-05,0.0033,0.066599995,0.069299996,0.0626,0.057499997,0.089899994,0.0712,0.0659,0.0687,-1057945.0,-302025.0,3832,2024-01-01,-0.06451614,-0.10038909,0.30277443,0.26611954,-0.2087297,0.94722223,1.446959,0.81179774,0.0035236152,3.3140216,-0.054221544
14,4,0.0583,0.072,0.1015,0.1099,0.15181045,2.1551489e-06,3.4659235e-05,0.0030999999,0.0647,0.069,0.060799997,0.055,0.087799996,0.0717,0.0638,0.0661,-1057965.0,-302035.0,3832,2024-01-01,-0.0723719,-0.10514196,0.30677763,0.28763914,-0.20835625,0.9235669,1.4097222,0.8131102,-0.0020876662,3.07562,-0.07951207
15,4,0.062699996,0.0752,0.1029,0.1122,0.16203107,2.484125e-06,3.5090725e-05,0.0032,0.066199996,0.0787,0.062099997,0.0556,0.0841,0.0739,0.065,0.0672,-1058025.0,-302035.0,3832,2024-01-01,-0.100534745,-0.09064542,0.2830189,0.28743547,-0.19743864,0.9171123,1.3683511,0.8484438,-0.008718978,3.0441113,-0.08652536
16,4,0.061199997,0.074999996,0.0967,0.1055,0.15309797,2.4933845e-06,3.513046e-05,0.0032,0.066599995,0.081999995,0.0611,0.053999998,0.085599996,0.076299995,0.0645,0.0673,-1058035.0,-302075.0,3832,2024-01-01,-0.06088865,-0.10132158,0.26574686,0.2665066,-0.16897509,0.91658765,1.2893333,0.80209696,0.0085921995,2.9609067,-0.08709757
17,4,0.0581,0.0744,0.099599995,0.1114,0.15655662,2.3902892e-06,3.564061e-05,0.0032,0.067099996,0.078999996,0.060399998,0.053999998,0.084,0.0742,0.0642,0.067099996,-1058075.0,-302055.0,3832,2024-01-01,-0.0849673,-0.123018876,0.3144543,0.29685682,-0.19913886,0.89407533,1.3387096,0.7830189,-0.0013459178,2.8534374,-0.11196524
